Jishō 4 fourth month 9th day	http://datetime.hutime.org/calendar/1001.1/date/治承４年４月９日
Minamoto Yorimasa	https://en.wikipedia.org/wiki/Minamoto_no_Yorimasa
Taira Kiyomori	https://en.wikipedia.org/wiki/Taira_no_Kiyomori
Sanjō-Takakura Palace	https://cm3.github.io/azumakagami/dict/html/sanjo-takakura_palace.html
